target_year,category_raw,course_code,course_name,section,credits,lecture_type,grade_type,foreign_course,instructor_name,schedule_raw,teaching_method,lecture_hours,lecture_times,lab_hours,lab_times,pre_enrollment_count,capacity,enrolled_count,offered_year,semester,category1,college,department,_major,area,field
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),1,3,일반,Grade,,프레드K.리벤버그,"화 01 ,02 [N14-704(56-704)]  목 01 ,02 [N14-704(56-704)]",,4.0,4.0,0,0.0,6,45.0,43.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),2,3,일반,Grade,,프레드K.리벤버그,"화 03 ,04 [N14-704(56-704)]  목 03 ,04 [N14-704(56-704)]",,4.0,4.0,0,0.0,7,45.0,45.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),3,3,일반,Grade,,서지수,"월 01 ,02 [N14-704(56-704)]  수 01 ,02 [N14-704(56-704)]",,4.0,4.0,0,0.0,5,45.0,42.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),4,3,일반,Grade,,서지수,"월 03 ,04 [N14-703(56-703)]  수 03 ,04 [N14-703(56-703)]",,4.0,4.0,0,0.0,2,45.0,43.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),5,3,일반,Grade,,피터 맥 고완,"월 01 ,02 [N15-242(57-242)]  목 01 ,02 [N15-242(57-242)]",,4.0,4.0,0,0.0,2,45.0,43.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),6,3,일반,Grade,,피터 맥 고완,"월 03 ,04 [N15-245(57-245)]  목 03 ,04 [N15-242(57-242)]",,4.0,4.0,0,0.0,6,45.0,43.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),7,3,일반,Grade,,헤이즐 로버츠,"화 01 ,02 [N14-203(56-203)]  목 01 ,02 [N14-203(56-203)]",,4.0,4.0,0,0.0,3,45.0,43.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),8,3,일반,Grade,,헤이즐 로버츠,"화 03 ,04 [N14-203(56-203)]  목 03 ,04 [N14-109(56-109)]",,4.0,4.0,0,0.0,15,45.0,39.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),9,3,일반,Grade,,조나단 프렌치,"월 05 ,06 [N14-107(56-107)]  수 05 ,06 [N14-107(56-107)]",,4.0,4.0,0,0.0,1,45.0,50.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),10,3,일반,Grade,,조나단 프렌치,"월 07 ,08 [S1-2-205(41-205)]  수 07 ,08 [S1-2-205(41-205)]",,4.0,4.0,0,0.0,1,45.0,44.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),11,3,일반,Grade,,스테판P.호그,"월 05 ,06 [S1-2-305(41-305)]  목 05 ,06 [S1-2-305(41-305)]",,4.0,4.0,0,0.0,1,45.0,45.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),12,3,일반,Grade,,스테판P.호그,"월 07 ,08 [S1-2-302(41-302)]  목 07 ,08 [S1-2-302(41-302)]",,4.0,4.0,0,0.0,0,45.0,41.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),13,3,일반,Grade,,허선민,"화 06 ,07 [E8-2-201(45-201)]  목 06 ,07 [E8-7-235(50-235)]",,4.0,4.0,0,0.0,4,45.0,42.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),14,3,일반,Grade,,허선민,"화 08 ,09 [S1-2-306(41-306)]  목 08 ,09 [S1-2-306(41-306)]",,4.0,4.0,0,0.0,4,45.0,43.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),15,3,일반,Grade,,허선민,"화 11 ,12 [S21-4-143(92-143)]  목 11 ,12 [S21-4-143(92-143)]",,4.0,4.0,0,0.0,0,45.0,40.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),16,3,일반,Grade,,레이몬드 레브니악,"월 03 ,04 [N14-704(56-704)]  수 03 ,04 [N14-704(56-704)]",,4.0,4.0,0,0.0,8,45.0,46.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),17,3,일반,Grade,,레이몬드 레브니악,"월 05 ,06 [N14-703(56-703)]  수 05 ,06 [N14-703(56-703)]",,4.0,4.0,0,0.0,2,45.0,48.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),18,3,일반,Grade,,서지수,"월 06 ,07 [S1-2-301(41-301)]  수 06 ,07 [S1-2-301(41-301)]",,4.0,4.0,0,0.0,3,45.0,41.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),19,3,일반,Grade,,조나단 프렌치,"화 05 ,06 [N14-208(56-208)]  목 05 ,06 [N14-207(56-207)]",,4.0,4.0,0,0.0,1,45.0,47.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),20,3,일반,Grade,,양희에리카리,"수 02 ,03 [N14-207(56-207)]  목 05 ,06 [N14-204(56-204)]",,4.0,4.0,0,0.0,4,45.0,44.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),21,3,일반,Grade,,헤이즐 로버츠,"수 05 ,06 [N14-207(56-207)]  금 05 ,06 [N14-207(56-207)]",,4.0,4.0,0,0.0,1,45.0,46.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),22,3,일반,Grade,,안지희,"화 01 ,02 [N14-205(56-205)]  수 05 ,06 [N14-104(56-104)]",,4.0,4.0,0,0.0,3,45.0,40.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),23,3,일반,Grade,,양희에리카리,"수 05 ,06 [N14-205(56-205)]  금 05 ,06 [N14-205(56-205)]",,4.0,4.0,0,0.0,4,45.0,42.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),24,3,일반,Grade,,조나단 프렌치,"화 01 ,02 [N7-301]  목 01 ,02 [S1-2-306(41-306)]",,4.0,4.0,0,0.0,0,45.0,40.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913001,ACTION ENGLISH(영어Ⅱ),26,3,일반,Grade,,양희에리카리,"월 07 ,08 [N7-302]  목 07 ,08 [S1-2-104(41-104)]",,4.0,4.0,0,0.0,3,45.0,40.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),1,3,일반,Grade,,이강영,"월 03 ,04 [N16-1-125(58-125)]  수 03 ,04 [N16-1-125(58-125)]",,4.0,4.0,0,0.0,0,1.0,23.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),2,3,일반,Grade,,프레드K.리벤버그,"수 01 ,02 [N14-106(56-106)]  금 01 ,02 [N14-704(56-704)]",,4.0,4.0,0,0.0,1,45.0,34.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),3,3,일반,Grade,,프레드K.리벤버그,"수 03 ,04 [N14-106(56-106)]  금 03 ,04 [N14-704(56-704)]",,4.0,4.0,0,0.0,2,45.0,42.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),4,3,일반,Grade,,서지수,"화 01 ,02 [S1-2-301(41-301)]  목 01 ,02 [S1-2-202(41-202)]",,4.0,4.0,0,0.0,10,45.0,42.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),5,3,일반,Grade,,서지수,"화 03 ,04 [S1-2-305(41-305)]  목 03 ,04 [S1-2-306(41-306)]",,4.0,4.0,0,0.0,6,45.0,44.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),6,3,일반,Grade,,피터 맥 고완,"화 01 ,02 [N14-109(56-109)]  금 01 ,02 [N14-106(56-106)]",,4.0,4.0,0,0.0,3,45.0,43.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),7,3,일반,Grade,,피터 맥 고완,"화 03 ,04 [N14-109(56-109)]  금 03 ,04 [N14-102(56-102)]",,4.0,4.0,0,0.0,0,40.0,38.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),8,3,일반,Grade,,헤이즐 로버츠,"수 01 ,02 [N14-703(56-703)]  금 01 ,02 [N14-109(56-109)]",,4.0,4.0,0,0.0,8,45.0,35.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),9,3,일반,Grade,,헤이즐 로버츠,"수 03 ,04 [N14-203(56-203)]  금 03 ,04 [N14-109(56-109)]",,4.0,4.0,0,0.0,4,45.0,43.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),10,3,일반,Grade,,조나단 프렌치,"화 07 ,08 [S1-6-516(36-516)]  목 07 ,08 [S1-6-516(36-516)]",,4.0,4.0,0,0.0,8,45.0,47.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),12,3,일반,Grade,,스테판P.호그,"수 07 ,08 [S1-2-202(41-202)]  금 07 ,08 [S1-2-202(41-202)]",,4.0,4.0,0,0.0,3,45.0,42.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),13,3,일반,Grade,,레이몬드 레브니악,"화 03 ,04 [E8-2-201(45-201)]  금 03 ,04 [E8-2-201(45-201)]",,4.0,4.0,0,0.0,10,45.0,41.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),14,3,일반,Grade,,레이몬드 레브니악,"화 05 ,06 [N14-206(56-206)]  금 05 ,06 [N14-206(56-206)]",,4.0,4.0,0,0.0,6,45.0,52.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),15,3,일반,Grade,,안지희,"화 03 ,04 [S1-2-202(41-202)]  목 03 ,04 [S1-3-202(42-202)]",,4.0,4.0,0,0.0,9,45.0,51.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),16,3,일반,Grade,,강선자,"월 08 ,09 [S1-2-202(41-202)]  수 08 ,09 [S1-2-302(41-302)]",,4.0,4.0,0,0.0,5,45.0,48.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),17,3,일반,Grade,,정혜인,"월 08 ,09 [S1-2-305(41-305)]  목 08 ,09 [S1-2-305(41-305)]",,4.0,4.0,0,0.0,4,45.0,44.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),18,3,일반,Grade,,정혜인,"수 03 ,04 [S1-3-203(42-203)]  금 03 ,04 [S1-3-203(42-203)]",,4.0,4.0,0,0.0,2,45.0,41.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),19,3,일반,Grade,,레이몬드 레브니악,"월 08 ,09 [S1-3-202(42-202)]  목 08 ,09 [S1-3-202(42-202)]",,4.0,4.0,0,0.0,1,45.0,42.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),20,3,일반,Grade,,프레드K.리벤버그,"월 08 ,09 [S1-3-203(42-203)]  목 08 ,09 [S1-3-203(42-203)]",,4.0,4.0,0,0.0,2,45.0,49.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),21,3,일반,Grade,,스테판P.호그,"월 03 ,04 [N14-108(56-108)]  수 03 ,04 [N16-1-158(58-158)]",,4.0,4.0,0,0.0,8,45.0,39.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,913002,영어읽기와 토론(영어Ⅰ),22,3,일반,Grade,,데일 마르셀,"월 07 ,08 [S1-2-306(41-306)]  목 07 ,08 [N14-202(56-202)]",,4.0,4.0,0,0.0,18,45.0,18.0,2020,1학기,교양,,,,개신기초교양,영어
전학년,교양선택,912001,대학 글쓰기,1,3,일반,Grade,,강지연,"월 02 ,03 ,04 [E8-2-201(45-201)]",,3.0,3.0,0,0.0,11,45.0,44.0,2020,1학기,교양,,,,개신기초교양,의사소통
전학년,교양선택,912001,대학 글쓰기,2,3,일반,Grade,,허선애,"월 02 ,03 ,04 [E8-7-235(50-235)]",,3.0,3.0,0,0.0,3,45.0,44.0,2020,1학기,교양,,,,개신기초교양,의사소통
전학년,교양선택,912001,대학 글쓰기,3,3,일반,Grade,,오영록,"월 07 ,08 ,09 [E8-7-235(50-235)]",,3.0,3.0,0,0.0,12,45.0,55.0,2020,1학기,교양,,,,개신기초교양,의사소통
